Time [s],Read Data
0.678519375,0
0.678520438,1
0.678520937,0
0.678523375,1
0.678523875,0
0.678526312,1
0.678526875,0
0.678529188,1
0.678529750,0
0.678531250,1
0.678531813,0
0.678533250,1
0.678533812,0
0.678536187,1
0.678536750,0
0.678539125,1
0.678539688,0
0.678542125,1
0.678542688,0
0.678545063,1
0.678545562,0
0.678547062,1
0.678547625,0
0.678549125,1
0.678549625,0
0.678552062,1
0.678552562,0
0.678555000,1
0.678555500,0
0.678558000,1
0.678558500,0
0.678560875,1
0.678561375,0
0.678562937,1
0.678563438,0
0.678564938,1
0.678565437,0
0.678567875,1
0.678568437,0
0.678570812,1
0.678571375,0
0.678573813,1
0.678574312,0
0.678576750,1
0.678577250,0
0.678578750,1
0.678579313,0
0.678580750,1
0.678581312,0
0.678583687,1
0.678584250,0
0.678586687,1
0.678587188,0
0.678589688,1
0.678590187,0
0.678592562,1
0.678593062,0
0.678594563,1
0.678595125,0
0.678596625,1
0.678597125,0
0.678599500,1
0.678600063,0
0.678602500,1
0.678603062,0
0.678605500,1
0.678606000,0
0.678608437,1
0.678608937,0
0.678610438,1
0.678610938,0
0.678612437,1
0.678613000,0
0.678615375,1
0.678615938,0
0.678618375,1
0.678618875,0
0.678621313,1
0.678621875,0
0.678624250,1
0.678624750,0
0.678626250,1
0.678626813,0
0.678628250,1
0.678628812,0
0.678631187,1
0.678631750,0
0.678634188,1
0.678634688,0
0.678637188,1
0.678637687,0
0.678640062,1
0.678640625,0
0.678642125,1
0.678642688,0
0.678644125,1
0.678644687,0
0.678647062,1
0.678647563,0
0.678650000,1
0.678650562,0
0.678653000,1
0.678653562,0
0.678655875,1
0.678656438,0
0.678657938,1
0.678658500,0
0.678659937,1
0.678660500,0
0.678662875,1
0.678663438,0
0.678665875,1
0.678666375,0
0.678668812,1
0.678669375,0
0.678671750,1
0.678672313,0
0.678673813,1
0.678674312,0
0.678675812,1
0.678676313,0
0.678678750,1
0.678679250,0
0.678681688,1
0.678682187,0
0.678684687,1
0.678685250,0
0.678687562,1
0.678688125,0
0.678689625,1
0.678690187,0
0.678691625,1
0.678692188,0
0.678694563,1
0.678695063,0
0.678697500,1
0.678698062,0
0.678700500,1
0.678701000,0
0.678703437,1
0.678703938,0
0.678705438,1
0.678706000,0
0.678707437,1
0.678708000,0
0.678710375,1
0.678710938,0
0.678713375,1
0.678713875,0
0.678716312,1
0.678716875,0
0.678719312,1
0.678719813,0
0.678721313,1
0.678721812,0
0.678723312,1
0.678723813,0
0.678726250,1
0.678726812,0
0.678729187,1
0.678729750,0
0.678732187,1
